No,회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,순위,당첨게임수,1게임당 당첨금액
1,"1,219",1,2,15,28,39,45,31,1등,12 명,"2,508,232,844 원"
1,"1,218",3,28,31,32,42,45,25,1등,18 명,"1,714,482,042 원"
1,"1,217",8,10,15,20,29,31,41,1등,14 명,"2,179,738,018 원"
1,"1,216",3,10,14,15,23,24,25,1등,16 명,"2,148,654,000 원"
1,"1,215",13,15,19,21,44,45,39,1등,16 명,"1,998,542,133 원"
2,"1,214",10,15,19,27,30,33,14,1등,12 명,"2,431,577,188 원"
3,"1,213",5,11,25,27,36,38,2,1등,18 명,"1,740,011,646 원"
4,"1,212",5,8,25,31,41,44,45,1등,12 명,"2,654,089,032 원"
5,"1,211",23,26,27,35,38,40,10,1등,14 명,"2,370,956,036 원"
6,"1,210",1,7,9,17,27,38,31,1등,24 명,"1,102,298,407 원"
7,"1,209",2,17,20,35,37,39,24,1등,22 명,"1,371,910,466 원"
8,"1,208",6,27,30,36,38,42,25,1등,6 명,"5,001,713,625 원"
9,"1,207",10,22,24,27,38,45,11,1등,17 명,"1,733,202,949 원"
10,"1,206",1,3,17,26,27,42,23,1등,15 명,"1,868,807,000 원"
11,"1,205",1,4,16,23,31,41,2,1등,10 명,"3,226,386,263 원"
12,"1,204",8,16,28,30,31,44,27,1등,18 명,"1,661,007,688 원"
13,"1,203",3,6,18,29,35,39,24,1등,21 명,"1,368,060,733 원"
14,"1,202",5,12,21,33,37,40,7,1등,14 명,"1,920,410,813 원"
15,"1,201",7,9,24,27,35,36,37,1등,19 명,"1,414,555,718 원"
16,"1,200",1,2,4,16,20,32,45,1등,12 명,"2,357,299,875 원"
17,"1,199",16,24,25,30,31,32,7,1등,17 명,"1,695,609,839 원"
18,"1,198",26,30,33,38,39,41,21,1등,10 명,"2,953,686,638 원"
19,"1,197",1,5,7,26,28,43,30,1등,13 명,"2,205,089,827 원"
20,"1,196",8,12,15,29,40,45,14,1등,15 명,"2,001,627,550 원"
21,"1,195",3,15,27,33,34,36,37,1등,10 명,"2,939,186,738 원"
22,"1,194",3,13,15,24,33,37,2,1등,28 명,"985,155,349 원"
23,"1,193",6,9,16,19,24,28,17,1등,16 명,"1,717,013,508 원"
24,"1,192",10,16,23,36,39,40,11,1등,29 명,"1,079,546,587 원"
25,"1,191",1,4,11,12,20,41,2,1등,18 명,"1,536,334,355 원"
26,"1,190",7,9,19,23,26,45,33,1등,6 명,"4,622,793,813 원"
27,"1,189",9,19,29,35,37,38,31,1등,13 명,"2,263,651,299 원"
28,"1,188",3,4,12,19,22,27,9,1등,24 명,"1,074,625,172 원"
29,"1,187",5,13,26,29,37,40,42,1등,11 명,"2,619,380,012 원"
30,"1,186",2,8,13,16,23,28,35,1등,14 명,"1,985,676,911 원"
31,"1,185",6,17,22,28,29,32,38,1등,12 명,"2,388,695,125 원"
32,"1,184",14,16,23,25,31,37,42,1등,15 명,"1,910,655,600 원"
33,"1,183",4,15,17,23,27,36,31,1등,13 명,"2,073,966,000 원"
34,"1,182",1,13,21,25,28,31,22,1등,13 명,"2,124,785,424 원"
35,"1,181",8,10,14,20,33,41,28,1등,17 명,"1,593,643,500 원"
36,"1,180",6,12,18,37,40,41,3,1등,11 명,"2,535,566,421 원"
37,"1,179",3,16,18,24,40,44,21,1등,13 명,"2,162,821,097 원"
38,"1,178",5,6,11,27,43,44,17,1등,12 명,"2,391,608,407 원"
39,"1,177",3,7,15,16,19,43,21,1등,6 명,"4,576,672,000 원"
40,"1,176",7,9,11,21,30,35,29,1등,13 명,"2,052,166,154 원"
41,"1,175",3,4,6,8,32,42,31,1등,20 명,"1,384,026,094 원"
42,"1,174",8,11,14,17,36,39,22,1등,15 명,"1,910,619,425 원"
43,"1,173",1,5,18,20,30,35,3,1등,24 명,"1,179,946,063 원"
44,"1,172",7,9,24,40,42,44,45,1등,13 명,"2,203,004,452 원"
45,"1,171",3,6,7,11,12,17,19,1등,21 명,"1,128,345,286 원"
46,"1,170",3,13,28,34,38,42,25,1등,20 명,"1,386,550,969 원"
47,"1,169",5,12,24,26,39,42,20,1등,10 명,"2,852,735,813 원"
48,"1,168",9,21,24,30,33,37,29,1등,13 명,"2,136,635,914 원"
49,"1,167",8,23,31,35,39,40,24,1등,10 명,"2,884,087,913 원"
50,"1,166",14,23,25,27,29,42,16,1등,14 명,"2,072,319,938 원"
51,"1,165",6,7,27,29,38,45,17,1등,13 명,"2,192,485,270 원"
52,"1,164",17,18,23,25,38,39,22,1등,13 명,"2,193,092,164 원"
53,"1,163",2,13,15,16,33,43,4,1등,15 명,"1,936,891,150 원"
