증권사,국가,종목코드,종목명,매수단가(원),수량,현재가(원)
KB증권,한국,5930,삼성전자,167950.0,120.0,183100
KB증권,한국,267260,HD현대일렉트릭,851444.0,18.0,929000
KB증권,한국,034020,두산에너빌리티,76300.0,200.0,107100
토스증권,한국,067390,아스트,905.0,550.0,795
토스증권,미국,AAPL,AAPL,375887.0,5.024452,380514
토스증권,미국,NVDA,NVDA,259824.0,10.0,272376
카카오페이증권,미국,NVDA,NVDA,268726.0,5.667,272490
카카오페이증권,미국,TSLA,TSLA,631823.0,3.4546,587806
카카오페이증권,한국,381170,TIGER 미국테크TOP10 INDXX,29289.0,36.0,29455
카카오페이증권,한국,360750,TIGER 미국S&P500,24692.0,48.0,24740
카카오페이증권,한국,458730,TIGER 미국배당다우존스,14235.0,90.0,14585
카카오페이증권,한국,493810,TIGER 미국AI빅테크10타겟데일리커버드콜,11865.0,840.0,11380
카카오페이증권,한국,0168KO,TIGER 기술이전바이오액티브,11365.0,20.0,9275
카카오페이증권,한국,396500,TIGER 반도체TOP10,34185.0,3.0,34185
